OBJECTID,NOM_POBLAD,FUENTE,CÓDIGO,CAT_POBLAD,DIST,PROV,Departamento,CÓD_INT,CATEGORIA,X,Y,N_BUSQDA,DEP_NORM,n_hospitales_10km
124324,PLAYA HERMOSA,INEI,,,PAMPA HERMOSA,UCAYALI,LORETO,,,-75.65611,-75.65611,,LORETO,0
124325,SANTA ROSA CHIATIPISHCA,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-75.27139,-75.27139,,LORETO,0
124326,UNION GILBOA,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-74.94452,-74.94452,,LORETO,0
124327,NUEVO LIBERTADOR,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-74.9365,-74.9365,,LORETO,0
124328,ALTO CONTAMANA,INEI,,,PAMPA HERMOSA,UCAYALI,LORETO,,,-75.62846,-75.62846,,LORETO,0
124329,CONTAMANILLO,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-74.95677,-74.95677,,LORETO,0
124330,CANAAN DE CACHIYACU,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-74.96674,-74.96674,,LORETO,0
124331,SANGAMAYO,INEI,,,PAMPA HERMOSA,UCAYALI,LORETO,,,-75.66157,-75.66157,,LORETO,0
124332,SAN MARTIN DE CHIATIPISHCA,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-75.23072,-75.23072,,LORETO,0
124333,PAMPAS DEL INCA,INEI,,,PAMPA HERMOSA,UCAYALI,LORETO,,,-75.59958,-75.59958,,LORETO,0
124334,THAITI,INEI,,,PAMPA HERMOSA,UCAYALI,LORETO,,,-75.66036,-75.66036,,LORETO,0
124335,NUEVO PICOTA,INEI,,,PAMPA HERMOSA,UCAYALI,LORETO,,,-75.60819,-75.60819,,LORETO,0
124336,LA CONQUISTA,INEI,,,PAMPA HERMOSA,UCAYALI,LORETO,,,-75.58453,-75.58453,,LORETO,0
124337,NUEVO ALAN,INEI,,,PAMPA HERMOSA,UCAYALI,LORETO,,,-75.44556,-75.44556,,LORETO,0
124338,ISOLAYA,INEI,,,PAMPA HERMOSA,UCAYALI,LORETO,,,-75.39287,-75.39287,,LORETO,0
124339,NUEVO MILAGRITOS,INEI,,,CONTAMANA,UCAYALI,LORETO,,,-75.08705,-75.08705,,LORETO,0
124340,ALFREDO VARGAS GUERRA,INEI,,,PAMPA HERMOSA,UCAYALI,LORETO,,,-75.22131,-75.22131,,LORETO,0
124341,ALTO PERILLO,INEI,,,PAMPA HERMOSA,UCAYALI,LORETO,,,-75.14334,-75.14334,,LORETO,0
124342,MONTE DE LOS OLIVOS,INEI,,,PAMPA HERMOSA,UCAYALI,LORETO,,,-75.10357,-75.10357,,LORETO,0
124343,SANTA ROSA DE PIROCOCHA,INEI,,,INAHUAYA,UCAYALI,LORETO,,,-75.24255,-75.24255,,LORETO,0
124344,ISLA BAÑOS,INEI,,,VARGAS GUERRA,UCAYALI,LORETO,,,-75.121,-75.121,,LORETO,0
124345,NUEVO ENCANTO SUNI,INEI,,,VARGAS GUERRA,UCAYALI,LORETO,,,-75.10205,-75.10205,,LORETO,0
124346,FUNDO BARILLAL,INEI,,,VARGAS GUERRA,UCAYALI,LORETO,,,-75.24813,-75.24813,,LORETO,0
124347,SAN FERNANDO,INEI,,,VARGAS GUERRA,UCAYALI,LORETO,,,-75.07453,-75.07453,,LORETO,0
124348,SAN JOSE DE INSAYA,INEI,,,VARGAS GUERRA,UCAYALI,LORETO,,,-75.23468,-75.23468,,LORETO,0
124349,SAN FRANCISCO DE SARAYAQUILLO,INEI,,,VARGAS GUERRA,UCAYALI,LORETO,,,-75.18041,-75.18041,,LORETO,0
124350,2 HERMANOS,INEI,,,VARGAS GUERRA,UCAYALI,LORETO,,,-75.03518,-75.03518,,LORETO,0
124351,PUERTO LIBRE,INEI,,,SARAYACU,UCAYALI,LORETO,,,-75.06507,-75.06507,,LORETO,0
